date,SKUCode,Description,total_qty
20260105,1325215613075TUHL0,155/70R13 ULTIMA HILIFE TL 75T,779
20260105,1325215813079STMX0, 155/80R13 TAXIMAX TL 79S ,2374
20260105,1325215813079SUHL0,155/80R13 ULTIMA HILIFE TL 79 S,845
20260105,1325215813079TUNE6,155/80R13 ULTIMA NEO 79T TL,149
20260105,1325216513077TUHL0,165/65R13 ULTIMA HILIFE 77T TL,71
20260105,1325216514079TTMX0,165/65 R 14 TAXIMAX TL,1221
20260105,1325216614081STMX0,165/70 R 14 TAXIMAX TL ,2046
20260105,1325216614081SUTR0,NA,3648
20260105,1325216614081TVECE,NA,551
20260105,1325216814085STMX0,165/80 R14 TAXIMAX TL 85S,2493
20260105,1325216814085SUTR0,165/80R14 UX TOURING TL,1088
20260105,1325216814085TURL0,16580R14 UX ROYALE TL,3719
20260105,1325217413077TUSP0,175/60R13ULTIMA SPORT TL 77T,154
20260105,1325217415081HUTR0,175/60 R 15 UX TOURING TL  81H,2576
20260105,1325217514082HURL1,175/65R14 UX ROYALE TL 82 H SASO,403
20260105,1325217514082HURL2,NA,387
20260105,1325217514082HURP0,175/65R14 UX ROYALE TL 82H (Punture Guard),414
20260105,1325217514082HVECL,175/65R14 VECTRA TL 82 H Low weight,2045
20260105,1325217514082TTMX0,175/65 R14 TAXIMAX TL  82 T,225
20260105,1325217514082TUTR0,175/65 R14 UX TOURING 82T TL,83
20260105,1325217514082TVECH,175/65R14 VECTRA TL 82 T 2UA,2328
20260105,1325217515084HURP0,NA,219
20260105,1325217613082TUNE2,NA,2620
20260105,1325217614084HURL1,175/70 R14 UX ROYALE TL 84 H SASO,34
20260105,1325217614084HURL2,175/70 R 14 UX ROYALE TL 84 H LOW WT.,1781
20260105,1325217614084HURL2,175/70 R14 UX ROYALE TL 84 H,1781
20260105,1325218414082HUSP0,NA,1807
20260105,1325218415084TTMX0,185/60 R 15 TAXIMAX TL   84T,1274
20260105,1325218514086HURL0,185/65R14 UX Royale,2391
20260105,1325218515088HTMX0,185/65 R15 TAXI MAX TL,1873
20260105,1325218515088HURL1,185/65 R15 UX ROYALE TL  88H SASO,975
